DT,GR,NPHI,RHOB,RT,DEPTH
,21.003,,,0.38865799,235.9
,22.499,,,0.361861471,236
,22.2,,,0.33432708,236.1
,22.001,,,0.380489122,236.2
,22.597,,,0.424613927,236.3
,21.002,,,0.46624658,236.4
,21.902,,,0.506817602,236.5
,23.003,,,0.54522705,236.6
,24.404,,,0.582774123,236.7
,26.302,,,0.617884696,236.8
,27.399,,,0.337186267,236.9
,26.803,,,0.4167347,237
,28.505,,,0.524136638,237.1
,31.004,,,0.604862266,237.2
,33.003,,,0.6408007,237.3
,34.403,,,0.47995396,237.4
,36.003,,,0.802449915,237.5
,37.499,,,0.770108222,237.6
,36.999,,,0.793444902,237.7
,36.697,,,0.805135683,237.8
,35.299,,,0.722705983,237.9
,34.797,,,0.879626748,238
,33.499,,,0.566449528,238.1
,33.198,,,0.913486805,238.2
,32.2,,,0.645006805,238.3
,32,,,0.82373675,238.4
,32.097,,,0.601579987,238.5
,30.599,,,0.557327457,238.6
,30,,,0.507419831,238.7
,30.1,,,0.742413422,238.8
,30.301,,,0.659590397,238.9
,30.603,,,0.315540401,239
,32.001,,,0.75235904,239.1
,32.602,,,0.853563902,239.2
,33.599,,,0.831603924,239.3
,33.099,,,0.890767775,239.4
,32.699,,,0.710987099,239.5
,32.201,,,0.779324877,239.6
,32.899,,,0.963937385,239.7
,32.597,,,0.875885317,239.8
,30.898,,,0.905836274,239.9
,29.796,,,0.894045123,240
,27.597,,,0.878381159,240.1
,26.199,,,0.806029338,240.2
,25.897,,,0.798857635,240.3
,24.3,,,0.834212621,240.4
,24.1,,,0.867100488,240.5
,23.9,,,0.802449915,240.6
,23.801,,,0.863311807,240.7
,24.099,,,0.796605889,240.8
,23.7,,,0.840704745,240.9
,23.601,,,0.88376754,241
,23.9,,,0.838112951,241.1
,23.9,,,0.868360198,241.2
,23.699,,,0.90502754,241.3
,23.3,,,0.819779831,241.4
,23.201,,,0.8603551,241.5
,23.798,,,0.822858787,241.6
,22.699,,,0.871711688,241.7
,22.197,,,0.850578189,241.8
,20.698,,,1.020290322,241.9
,19.797,,,0.843720039,242
,18.498,,,0.618423634,242.1
,17.299,,,0.841998127,242.2
