DEPTH,GR,NPHI,RHOB,RT,DEPTH
3224.4,31.336,0.122,2.583,3.377,3224.4
3224.5,29.954,0.125,2.582,3.28,3224.5
3224.6,30.875,0.124,2.582,3.243,3224.6
3224.7,31.393,0.126,2.581,3.143,3224.7
3224.8,32.474,0.127,2.579,3.16,3224.8
3224.9,33.129,0.128,2.576,3.291,3224.9
3225.0,32.479,0.128,2.574,3.415,3225.0
3225.1,33.574,0.127,2.572,3.317,3225.1
3225.2,34.25,0.128,2.57,3.35,3225.2
3225.3,33.953,0.126,2.565,3.09,3225.3
3225.4,35.044,0.126,2.561,3.351,3225.4
3225.5,35.294,0.127,2.563,3.453,3225.5
3225.6,35.305,0.125,2.57,3.751,3225.6
3225.7,35.163,0.126,2.577,3.702,3225.7
3225.8,34.171,0.122,2.58,3.758,3225.8
3225.9,34.177,0.119,2.578,3.704,3225.9
3226.0,32.292,0.115,2.575,3.796,3226.0
3226.1,30.206,0.112,2.574,3.965,3226.1
3226.2,28.432,0.106,2.577,4.441,3226.2
3226.3,27.741,0.1,2.581,4.765,3226.3
3226.4,27.103,0.096,2.586,4.874,3226.4
3226.5,26.976,0.094,2.591,4.99,3226.5
3226.6,26.412,0.093,2.597,4.921,3226.6
3226.7,26.796,0.093,2.601,4.932,3226.7
3226.8,27.074,0.094,2.603,4.95,3226.8
3226.9,26.75,0.095,2.605,4.986,3226.9
3227.0,26.772,0.096,2.608,5.017,3227.0
3227.1,26.757,0.095,2.61,5.044,3227.1
3227.2,26.585,0.097,2.611,4.945,3227.2
3227.3,26.598,0.1,2.609,4.846,3227.3
3227.4,26.669,0.103,2.604,4.668,3227.4
3227.5,27.648,0.109,2.597,4.5,3227.5
3227.6,29.282,0.116,2.591,4.264,3227.6
3227.7,30.781,0.122,2.586,4.225,3227.7
3227.8,32.481,0.129,2.582,4.057,3227.8
3227.9,33.703,0.136,2.579,3.918,3227.9
3228.0,36.314,0.141,2.576,3.548,3228.0
3228.1,38.562,0.146,2.572,3.044,3228.1
3228.2,38.466,0.145,2.568,2.788,3228.2
3228.3,38.891,0.15,2.565,2.795,3228.3
3228.4,40.1,0.147,2.565,2.741,3228.4
3228.5,40.452,0.145,2.567,2.804,3228.5
3228.6,39.306,0.141,2.57,2.953,3228.6
3228.7,37.691,0.138,2.572,3.04,3228.7
3228.8,36.117,0.13,2.574,2.983,3228.8
3228.9,34.332,0.119,2.574,3.032,3228.9
3229.0,30.81,0.108,2.577,3.177,3229.0
3229.1,29.166,0.099,2.583,3.632,3229.1
3229.2,27.718,0.096,2.59,3.94,3229.2
3229.3,25.881,0.094,2.596,4.322,3229.3
3229.4,25.874,0.095,2.602,4.286,3229.4
3229.5,26.296,0.096,2.607,4.228,3229.5
3229.6,25.482,0.099,2.608,4.223,3229.6
3229.7,27.037,0.101,2.604,4.215,3229.7
3229.8,28.525,0.107,2.597,4.186,3229.8
3229.9,30.814,0.114,2.59,3.864,3229.9
3230.0,32.429,0.122,2.586,3.79,3230.0
3230.1,33.821,0.127,2.584,3.625,3230.1
3230.2,34.56,0.131,2.585,3.515,3230.2
3230.3,35.059,0.135,2.585,3.434,3230.3
3230.4,34.725,0.132,2.586,3.506,3230.4
3230.5,35.834,0.132,2.588,3.508,3230.5
3230.6,35.505,0.139,2.59,3.307,3230.6
3230.7,35.693,0.142,2.593,3.116,3230.7
3230.8,34.785,0.139,2.595,2.946,3230.8
3230.9,34.288,0.138,2.596,2.701,3230.9
3231.0,34.201,0.139,2.595,2.665,3231.0
3231.1,32.631,0.136,2.593,2.891,3231.1
3231.2,34.198,0.136,2.592,3.211,3231.2
3231.3,34.413,0.137,2.591,3.497,3231.3
3231.4,36.33,0.138,2.59,3.635,3231.4
3231.5,37.096,0.138,2.59,3.679,3231.5
3231.6,36.601,0.136,2.591,3.404,3231.6
3231.7,34.562,0.13,2.592,3.26,3231.7
3231.8,33.364,0.121,2.592,3.427,3231.8
3231.9,31.091,0.114,2.593,3.617,3231.9
3232.0,28.525,0.105,2.594,3.88,3232.0
3232.1,25.789,0.098,2.596,4.203,3232.1
3232.2,23.539,0.096,2.599,4.443,3232.2
3232.3,22.455,0.096,2.602,4.645,3232.3
3232.4,22.558,0.097,2.604,4.712,3232.4
3232.5,23.288,0.1,2.604,4.644,3232.5
3232.6,24.347,0.101,2.6,4.468,3232.6
3232.7,25.332,0.104,2.596,4.14,3232.7
3232.8,25.434,0.108,2.593,4.048,3232.8
3232.9,25.758,0.112,2.59,3.862,3232.9
3233.0,25.924,0.116,2.588,4.248,3233.0
3233.1,26.59,0.118,2.587,4.101,3233.1
3233.2,27.48,0.113,2.586,4.009,3233.2
3233.3,26.658,0.109,2.588,3.983,3233.3
3233.4,25.533,0.103,2.59,3.915,3233.4
3233.5,23.831,0.1,2.593,4.096,3233.5
3233.6,24.228,0.095,2.596,4.236,3233.6
3233.7,21.9,0.09,2.597,4.279,3233.7
3233.8,20.714,0.086,2.598,4.587,3233.8
3233.9,20.138,0.082,2.599,4.881,3233.9
3234.0,18.404,0.079,2.602,4.855,3234.0
3234.1,16.941,0.078,2.607,4.85,3234.1
3234.2,16.394,0.081,2.61,4.861,3234.2
3234.3,16.287,0.083,2.611,4.891,3234.3
3234.4,17.167,0.087,2.611,4.949,3234.4
3234.5,19.168,0.09,2.609,4.945,3234.5
3234.6,21.577,0.096,2.606,4.973,3234.6
3234.7,24.071,0.102,2.6,4.766,3234.7
3234.8,25.84,0.107,2.594,4.513,3234.8
3234.9,26.727,0.11,2.588,4.354,3234.9
3235.0,25.723,0.114,2.583,4.334,3235.0
3235.1,26.062,0.118,2.579,4.188,3235.1
3235.2,28.367,0.122,2.576,3.762,3235.2
3235.3,28.454,0.123,2.576,3.691,3235.3
3235.4,28.311,0.122,2.578,3.937,3235.4
