DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2591.6,83.138,37.798,0.23,2.294,0.753,2591.6
2591.7,84.672,36.09,0.232,2.268,0.686,2591.7
2591.8,86.474,34.446,0.236,2.256,0.644,2591.8
2591.9,88.163,33.537,0.236,2.251,0.628,2591.9
2592.0,89.529,32.383,0.239,2.247,0.573,2592.0
2592.1,90.435,33.637,0.247,2.244,0.562,2592.1
2592.2,91.012,34.497,0.253,2.24,0.552,2592.2
2592.3,91.035,34.9,0.256,2.235,0.521,2592.3
2592.4,91.088,33.266,0.258,2.23,0.476,2592.4
2592.5,91.417,32.927,0.261,2.224,0.437,2592.5
2592.6,92.616,32.943,0.268,2.218,0.441,2592.6
2592.7,95.161,32.531,0.278,2.212,0.422,2592.7
2592.8,98.618,34.282,0.294,2.208,0.419,2592.8
2592.9,103.65,37.466,0.316,2.21,0.428,2592.9
2593.0,106.549,40.523,0.337,2.221,0.495,2593.0
2593.1,108.179,48.146,0.357,2.243,0.566,2593.1
2593.2,108.691,56.773,0.365,2.275,0.605,2593.2
2593.3,108.432,66.056,0.356,2.307,0.677,2593.3
2593.4,107.716,70.058,0.341,2.33,0.639,2593.4
2593.5,107.281,65.999,0.325,2.333,0.58,2593.5
2593.6,107.112,61.189,0.324,2.316,0.516,2593.6
2593.7,107.09,56.176,0.337,2.293,0.529,2593.7
2593.8,105.804,57.532,0.361,2.284,0.524,2593.8
2593.9,104.494,64.512,0.391,2.297,0.602,2593.9
2594.0,103.146,73.084,0.415,2.317,0.67,2594.0
2594.1,96.339,79.043,0.431,2.331,0.692,2594.1
2594.2,89.965,83.162,0.438,2.335,0.742,2594.2
2594.3,84.126,83.633,0.439,2.332,0.759,2594.3
2594.4,80.219,83.166,0.428,2.325,0.75,2594.4
2594.5,77.749,81.878,0.408,2.318,0.759,2594.5
2594.6,77.105,76.207,0.383,2.314,0.783,2594.6
2594.7,83.755,72.191,0.358,2.312,0.839,2594.7
2594.8,88.974,68.541,0.334,2.311,0.885,2594.8
2594.9,90.431,62.644,0.313,2.31,0.907,2594.9
2595.0,98.405,60.177,0.302,2.311,0.928,2595.0
2595.1,105.72,58.889,0.3,2.315,0.919,2595.1
2595.2,109.306,58.096,0.304,2.322,0.995,2595.2
2595.3,111.94,59.851,0.317,2.333,1.061,2595.3
2595.4,113.493,62.197,0.34,2.344,1.021,2595.4
2595.5,112.86,72.163,0.374,2.353,0.89,2595.5
2595.6,113.437,79.017,0.416,2.36,0.838,2595.6
2595.7,114.106,84.457,0.45,2.366,0.78,2595.7
2595.8,113.761,90.526,0.466,2.372,0.762,2595.8
2595.9,113.366,90.165,0.467,2.377,0.787,2595.9
2596.0,112.82,85.137,0.466,2.382,0.82,2596.0
2596.1,111.694,80.369,0.463,2.386,0.829,2596.1
2596.2,111.636,78.224,0.461,2.391,0.836,2596.2
2596.3,112.113,75.513,0.459,2.396,0.856,2596.3
2596.4,112.46,77.191,0.455,2.401,0.913,2596.4
2596.5,112.485,77.654,0.453,2.401,0.872,2596.5
2596.6,112.292,80.996,0.451,2.393,0.771,2596.6
2596.7,111.963,84.775,0.447,2.379,0.74,2596.7
2596.8,111.962,86.436,0.439,2.367,0.839,2596.8
2596.9,112.204,87.221,0.436,2.363,0.845,2596.9
2597.0,112.102,85.745,0.438,2.363,0.828,2597.0
2597.1,111.235,88.36,0.445,2.364,0.798,2597.1
2597.2,109.646,88.396,0.452,2.363,0.769,2597.2
2597.3,109.619,89.324,0.457,2.36,0.766,2597.3
2597.4,108.897,91.067,0.457,2.355,0.818,2597.4
2597.5,107.363,91.116,0.459,2.347,0.804,2597.5
2597.6,107.002,90.827,0.463,2.341,0.793,2597.6
2597.7,106.354,89.667,0.468,2.339,0.751,2597.7
2597.8,105.208,89.78,0.468,2.341,0.754,2597.8
2597.9,104.688,90.987,0.458,2.347,0.771,2597.9
