DEPTH,GR,NPHI,RHOB,RT,DEPTH
3324.3,24.9038,0.1102,2.5943,4.2012,3324.3
3324.4,24.4203,0.1114,2.5906,4.2579,3324.4
3324.5,24.0871,0.1126,2.5856,4.3097,3324.5
3324.6,24.4796,0.1165,2.5802,4.3167,3324.6
3324.7,25.015,0.1136,2.5759,4.3238,3324.7
3324.8,25.7548,0.1136,2.5732,4.3271,3324.8
3324.9,26.5078,0.1144,2.5721,4.3197,3324.9
3325.0,26.6852,0.1163,2.5715,4.3021,3325.0
3325.1,26.3687,0.119,2.5714,4.3007,3325.1
3325.2,25.5843,0.1192,2.572,4.3326,3325.2
3325.3,24.3028,0.1224,2.5737,4.3447,3325.3
3325.4,23.7016,0.1228,2.5767,4.3386,3325.4
3325.5,25.012,0.1229,2.5804,4.3226,3325.5
3325.6,26.4053,0.1229,2.583,4.3059,3325.6
3325.7,27.4524,0.1226,2.5837,4.2674,3325.7
3325.8,27.6936,0.1226,2.5823,4.1892,3325.8
3325.9,27.5747,0.1243,2.5801,4.1157,3325.9
3326.0,27.6891,0.1316,2.5776,4.0747,3326.0
3326.1,28.4431,0.135,2.575,4.0837,3326.1
3326.2,28.0989,0.1416,2.5732,4.0927,3326.2
3326.3,27.0157,0.1492,2.5718,4.0934,3326.3
3326.4,26.8485,0.1484,2.5696,4.0886,3326.4
3326.5,27.2496,0.1494,2.5657,4.0738,3326.5
3326.6,27.5925,0.1501,2.5613,4.0263,3326.6
3326.7,27.085,0.1507,2.5594,3.9455,3326.7
3326.8,27.2225,0.151,2.5607,3.9311,3326.8
3326.9,28.3895,0.151,2.5631,3.9803,3326.9
3327.0,29.5312,0.1503,2.5639,3.9785,3327.0
3327.1,30.4022,0.1487,2.5627,3.9902,3327.1
3327.2,30.7825,0.1456,2.5622,4.0014,3327.2
3327.3,30.8856,0.1415,2.563,3.9241,3327.3
3327.4,31.2713,0.1367,2.5629,3.8286,3327.4
3327.5,32.3147,0.1323,2.5599,3.7179,3327.5
3327.6,33.59,0.1284,2.5557,3.527,3327.6
3327.7,34.8472,0.1257,2.5545,3.3768,3327.7
3327.8,35.8314,0.1271,2.5576,3.3804,3327.8
3327.9,36.5865,0.1226,2.5627,3.4644,3327.9
3328.0,37.0475,0.1235,2.5662,3.4856,3328.0
3328.1,36.9196,0.1179,2.5677,3.3805,3328.1
3328.2,36.0277,0.1161,2.569,3.4114,3328.2
3328.3,35.3564,0.1151,2.5712,3.516,3328.3
3328.4,35.6605,0.1146,2.574,3.6053,3328.4
3328.5,35.2743,0.1172,2.5757,3.6801,3328.5
3328.6,34.6811,0.1167,2.5756,3.7212,3328.6
3328.7,34.6196,0.1163,2.5749,3.7342,3328.7
3328.8,34.7431,0.1157,2.5756,3.8005,3328.8
3328.9,33.89,0.1111,2.579,3.8804,3328.9
3329.0,31.3471,0.1093,2.5835,3.9019,3329.0
3329.1,30.1767,0.1087,2.5854,3.9029,3329.1
3329.2,29.4937,0.1102,2.5833,3.8771,3329.2
3329.3,27.606,0.1138,2.5793,3.8338,3329.3
3329.4,27.0688,0.1174,2.5767,3.821,3329.4
3329.5,27.1246,0.1196,2.5764,3.8563,3329.5
3329.6,25.5698,0.1204,2.577,3.9169,3329.6
3329.7,24.4967,0.121,2.5772,3.9453,3329.7
3329.8,24.1642,0.1229,2.5772,3.9283,3329.8
3329.9,23.664,0.1264,2.5772,3.9,3329.9
3330.0,23.4871,0.1302,2.5767,3.8686,3330.0
3330.1,23.88,0.1364,2.5755,3.8445,3330.1
3330.2,24.5454,0.1359,2.5737,3.8403,3330.2
3330.3,25.1956,0.1389,2.5719,3.8602,3330.3
3330.4,25.94,0.1428,2.5703,3.9081,3330.4
3330.5,27.1308,0.1459,2.5682,3.9631,3330.5
3330.6,27.918,0.147,2.5653,3.9968,3330.6
3330.7,28.0536,0.1461,2.5619,3.9569,3330.7
3330.8,28.607,0.1446,2.5588,3.8287,3330.8
3330.9,29.1157,0.1433,2.558,3.722,3330.9
3331.0,29.1938,0.1428,2.5611,3.6961,3331.0
3331.1,29.109,0.1465,2.5658,3.6308,3331.1
3331.2,29.0497,0.1449,2.5686,3.5473,3331.2
3331.3,29.422,0.1456,2.5671,3.4704,3331.3
3331.4,30.4503,0.144,2.563,3.4026,3331.4
3331.5,31.1862,0.1439,2.56,3.3369,3331.5
3331.6,30.8541,0.1408,2.5605,3.274,3331.6
3331.7,31.0373,0.1388,2.5635,3.2364,3331.7
3331.8,31.9645,0.1379,2.5668,3.1983,3331.8
3331.9,33.4492,0.1337,2.5679,3.1359,3331.9
3332.0,34.3407,0.1338,2.5664,3.1021,3332.0
3332.1,35.2393,0.1287,2.5643,3.0514,3332.1
3332.2,36.7692,0.1226,2.5646,2.9402,3332.2
3332.3,37.3642,0.118,2.5679,2.8781,3332.3
3332.4,36.7837,0.116,2.5728,2.901,3332.4
3332.5,35.7038,0.1154,2.5771,2.989,3332.5
3332.6,35.0532,0.1152,2.5794,3.0481,3332.6
3332.7,34.309,0.1149,2.5799,3.0877,3332.7
3332.8,32.501,0.1116,2.5796,3.1654,3332.8
3332.9,31.0738,0.1109,2.5796,3.2559,3332.9
3333.0,29.8085,0.1125,2.5802,3.3032,3333.0
3333.1,27.6277,0.1106,2.581,3.2581,3333.1
3333.2,25.7922,0.1086,2.5809,3.2528,3333.2
3333.3,24.8318,0.1067,2.5798,3.3061,3333.3
3333.4,24.2579,0.1047,2.5789,3.3236,3333.4
3333.5,23.8051,0.1025,2.58,3.3602,3333.5
3333.6,23.2543,0.1005,2.5828,3.472,3333.6
3333.7,22.4714,0.0991,2.5857,3.654,3333.7
3333.8,21.5576,0.0978,2.588,3.788,3333.8
3333.9,20.9161,0.0964,2.5899,3.7994,3333.9
3334.0,21.0679,0.0951,2.5922,3.7816,3334.0
3334.1,21.2876,0.0946,2.5946,3.7782,3334.1
3334.2,21.0399,0.0949,2.5967,3.8211,3334.2
3334.3,20.7719,0.0956,2.5981,3.8681,3334.3
3334.4,20.4788,0.0959,2.5988,3.9035,3334.4
3334.5,20.2063,0.0964,2.5987,3.9368,3334.5
3334.6,20.0667,0.0977,2.5978,4.0304,3334.6
3334.7,20.5922,0.1,2.5966,4.131,3334.7
3334.8,22.1334,0.103,2.5953,4.2164,3334.8
3334.9,23.489,0.106,2.5942,4.4114,3334.9
3335.0,24.486,0.1092,2.5932,4.5697,3335.0
3335.1,25.0902,0.1125,2.5918,4.5385,3335.1
3335.2,25.8378,0.1156,2.5897,4.5652,3335.2
3335.3,27.1592,0.1181,2.5868,4.5533,3335.3
3335.4,29.0213,0.1195,2.5839,4.3937,3335.4
3335.5,29.7887,0.1198,2.5822,4.3094,3335.5
3335.6,29.3917,0.1161,2.583,4.3004,3335.6
3335.7,28.8476,0.1151,2.586,4.2783,3335.7
3335.8,28.9401,0.1137,2.5899,4.2229,3335.8
3335.9,29.1985,0.1121,2.5924,4.1718,3335.9
3336.0,28.4712,0.1137,2.5922,4.1976,3336.0
3336.1,27.6377,0.1123,2.5908,4.2521,3336.1
3336.2,27.1525,0.111,2.59,4.309,3336.2
3336.3,27.1118,0.1095,2.5904,4.3422,3336.3
3336.4,26.7715,0.1084,2.5907,4.3838,3336.4
3336.5,26.2086,0.1089,2.5904,4.4213,3336.5
3336.6,26.3035,0.1111,2.591,4.4099,3336.6
3336.7,26.6829,0.1138,2.5937,4.3827,3336.7
3336.8,27.1653,0.1152,2.597,4.3734,3336.8
3336.9,27.611,0.1115,2.5984,4.4031,3336.9
3337.0,27.7156,0.1098,2.5967,4.4259,3337.0
3337.1,27.4013,0.1116,2.5934,4.4381,3337.1
3337.2,27.248,0.1113,2.5913,4.5002,3337.2
3337.3,27.1783,0.1122,2.593,4.529,3337.3
3337.4,27.2347,0.113,2.5947,4.4973,3337.4
3337.5,27.565,0.114,2.5968,4.5387,3337.5
3337.6,27.8406,0.1141,2.5965,4.5671,3337.6
3337.7,27.7718,0.1133,2.5946,4.5246,3337.7
3337.8,27.7042,0.1119,2.5944,4.533,3337.8
3337.9,27.6503,0.1107,2.598,4.5672,3337.9
3338.0,27.5351,0.1096,2.6043,4.5994,3338.0
3338.1,27.1709,0.1088,2.6094,4.6515,3338.1
3338.2,27.0278,0.1077,2.6112,4.7459,3338.2
3338.3,27.4636,0.1063,2.6101,4.8618,3338.3
3338.4,27.3981,0.1043,2.6081,4.8744,3338.4
3338.5,26.6038,0.1022,2.6067,4.8465,3338.5
3338.6,25.3483,0.1006,2.6063,4.8952,3338.6
3338.7,24.5945,0.1001,2.606,4.9403,3338.7
3338.8,24.3142,0.1003,2.6052,4.9953,3338.8
3338.9,23.9697,0.1007,2.604,5.077,3338.9
3339.0,23.4501,0.1009,2.6028,5.1165,3339.0
3339.1,23.2235,0.1009,2.6022,5.0965,3339.1
3339.2,23.8215,0.1008,2.6025,5.054,3339.2
3339.3,24.0388,0.101,2.6036,5.0293,3339.3
3339.4,23.7736,0.1013,2.6047,5.0247,3339.4
3339.5,23.8379,0.1015,2.605,5.0116,3339.5
3339.6,24.2098,0.1008,2.6047,5.0081,3339.6
3339.7,24.5768,0.0988,2.6044,5.0099,3339.7
3339.8,24.4211,0.0961,2.6045,4.9954,3339.8
3339.9,24.679,0.0937,2.6047,5.0011,3339.9
3340.0,25.1518,0.0927,2.6041,5.0282,3340.0
3340.1,24.3361,0.0902,2.6029,5.0252,3340.1
3340.2,23.6148,0.095,2.6019,5.0173,3340.2
3340.3,23.4943,0.097,2.6021,5.02,3340.3
3340.4,22.6873,0.0985,2.603,5.0197,3340.4
3340.5,21.9544,0.099,2.6032,4.9888,3340.5
3340.6,22.0865,0.0993,2.6017,4.9215,3340.6
3340.7,22.8184,0.0999,2.5994,4.8838,3340.7
3340.8,23.6566,0.101,2.5976,4.8754,3340.8
3340.9,23.9712,0.1025,2.5956,4.8793,3340.9
3341.0,23.8667,0.1042,2.5929,4.8507,3341.0
3341.1,23.8331,0.1061,2.5902,4.8009,3341.1
3341.2,24.2772,0.1079,2.5888,4.7607,3341.2
3341.3,24.3391,0.1094,2.5889,4.7566,3341.3
3341.4,24.5915,0.1107,2.5899,4.7494,3341.4
3341.5,25.5748,0.1119,2.5923,4.6988,3341.5
3341.6,26.1626,0.1136,2.5961,4.6777,3341.6
3341.7,26.4826,0.1155,2.5988,4.672,3341.7
3341.8,27.0135,0.1171,2.5974,4.6375,3341.8
3341.9,27.7983,0.1184,2.5927,4.5643,3341.9
3342.0,29.012,0.1196,2.5892,4.5011,3342.0
3342.1,30.5337,0.1206,2.5901,4.5134,3342.1
3342.2,31.5817,0.1207,2.5943,4.5031,3342.2
3342.3,32.0274,0.1154,2.5975,4.4377,3342.3
3342.4,32.2129,0.1102,2.5965,4.3465,3342.4
3342.5,31.9482,0.1066,2.5928,4.3249,3342.5
