GR,NPHI,RHOB,RT,DEPTH
19.168,0.09,2.609,4.945,3234.5
21.577,0.096,2.606,4.973,3234.6
24.071,0.102,2.6,4.766,3234.7
25.84,0.107,2.594,4.513,3234.8
26.727,0.11,2.588,4.354,3234.9
25.723,0.114,2.583,4.334,3235.0
26.062,0.118,2.579,4.188,3235.1
28.367,0.122,2.576,3.762,3235.2
28.454,0.123,2.576,3.691,3235.3
28.311,0.122,2.578,3.937,3235.4
28.338,0.12,2.579,3.915,3235.5
26.554,0.116,2.579,3.954,3235.6
25.532,0.114,2.576,3.78,3235.7
26.078,0.113,2.572,3.826,3235.8
26.135,0.114,2.571,3.572,3235.9
26.661,0.115,2.572,3.76,3236.0
26.428,0.118,2.573,3.687,3236.1
25.239,0.115,2.573,3.643,3236.2
25.919,0.115,2.572,3.629,3236.3
25.628,0.117,2.572,3.587,3236.4
26.346,0.115,2.572,3.522,3236.5
27.203,0.117,2.574,3.425,3236.6
26.147,0.12,2.575,3.38,3236.7
25.289,0.12,2.575,3.325,3236.8
26.494,0.12,2.573,3.303,3236.9
26.19,0.119,2.572,3.304,3237.0
25.725,0.119,2.574,3.279,3237.1
25.687,0.119,2.578,3.348,3237.2
25.661,0.118,2.582,3.274,3237.3
25.512,0.118,2.583,3.243,3237.4
24.995,0.118,2.58,3.191,3237.5
24.917,0.118,2.576,3.359,3237.6
24.762,0.118,2.574,3.299,3237.7
23.39,0.116,2.578,3.305,3237.8
22.578,0.115,2.586,3.449,3237.9
21.941,0.115,2.593,3.428,3238.0
22.029,0.114,2.594,3.402,3238.1
22.983,0.114,2.589,3.315,3238.2
23.826,0.119,2.581,3.207,3238.3
26.139,0.124,2.575,3.208,3238.4
27.49,0.128,2.571,3.117,3238.5
28.674,0.131,2.568,3.064,3238.6
29.706,0.133,2.565,3.074,3238.7
31.822,0.133,2.564,3.075,3238.8
33.708,0.133,2.565,2.959,3238.9
34.011,0.132,2.566,3.034,3239.0
32.347,0.131,2.567,3.09,3239.1
30.114,0.128,2.568,3.065,3239.2
30.295,0.124,2.569,3.085,3239.3
29.535,0.122,2.569,3.15,3239.4
28.307,0.12,2.569,3.191,3239.5
26.76,0.123,2.569,3.214,3239.6
26.274,0.121,2.57,3.331,3239.7
24.914,0.119,2.573,3.449,3239.8
23.625,0.118,2.576,3.427,3239.9
23.129,0.117,2.578,3.491,3240.0
22.126,0.116,2.577,3.589,3240.1
20.97,0.114,2.574,3.609,3240.2
20.814,0.112,2.571,3.644,3240.3
20.626,0.11,2.569,3.696,3240.4
20.07,0.108,2.569,3.808,3240.5
19.436,0.105,2.569,3.828,3240.6
19.134,0.104,2.572,3.892,3240.7
19.11,0.102,2.576,3.962,3240.8
18.452,0.101,2.579,3.998,3240.9
17.155,0.1,2.581,4.052,3241.0
17.187,0.098,2.581,4.078,3241.1
17.569,0.097,2.58,4.062,3241.2
18.51,0.097,2.58,4.058,3241.3
18.801,0.097,2.58,4.072,3241.4
17.812,0.099,2.582,4.103,3241.5
18.153,0.099,2.585,4.136,3241.6
18.174,0.099,2.588,4.129,3241.7
18.041,0.098,2.588,4.119,3241.8
19.546,0.099,2.587,4.111,3241.9
20.222,0.102,2.584,4.031,3242.0
20.494,0.104,2.581,4.05,3242.1
22.528,0.107,2.581,4.001,3242.2
24.85,0.112,2.585,3.965,3242.3
26.511,0.113,2.588,3.886,3242.4
28.151,0.115,2.588,3.917,3242.5
28.837,0.116,2.587,3.796,3242.6
28.559,0.117,2.588,3.754,3242.7
28.084,0.118,2.59,3.73,3242.8
28.742,0.119,2.592,3.744,3242.9
29.134,0.118,2.591,3.782,3243.0
28.999,0.115,2.59,3.789,3243.1
27.421,0.108,2.59,3.843,3243.2
25.609,0.102,2.59,3.997,3243.3
24.644,0.096,2.589,4.172,3243.4
23.972,0.094,2.587,4.379,3243.5
22.653,0.089,2.587,4.564,3243.6
21.86,0.085,2.589,4.676,3243.7
21.127,0.082,2.594,4.722,3243.8
19.683,0.081,2.598,4.797,3243.9
19.175,0.082,2.602,4.839,3244.0
20.397,0.085,2.603,4.858,3244.1
21.454,0.093,2.603,4.761,3244.2
22.005,0.098,2.601,4.605,3244.3
25.131,0.1,2.597,4.481,3244.4
27.899,0.104,2.592,4.434,3244.5
29.338,0.108,2.589,4.342,3244.6
29.584,0.112,2.587,4.218,3244.7
29.44,0.113,2.586,4.079,3244.8
29.371,0.113,2.586,4.044,3244.9
29.074,0.112,2.586,4.085,3245.0
29.334,0.113,2.588,4.177,3245.1
29.054,0.114,2.59,4.329,3245.2
28.681,0.116,2.592,4.598,3245.3
28.548,0.118,2.593,4.65,3245.4
29.209,0.12,2.592,4.532,3245.5
28.985,0.121,2.587,4.276,3245.6
28.932,0.118,2.582,4.082,3245.7
29.045,0.121,2.576,3.998,3245.8
28.569,0.12,2.572,4.213,3245.9
27.795,0.12,2.572,4.409,3246.0
26.092,0.12,2.574,4.583,3246.1
25.844,0.119,2.578,4.674,3246.2
25.199,0.118,2.584,4.593,3246.3
25.862,0.118,2.589,4.484,3246.4
27.832,0.119,2.593,4.453,3246.5
28.659,0.122,2.596,4.406,3246.6
30.839,0.126,2.599,4.426,3246.7
33.563,0.133,2.601,4.427,3246.8
35.48,0.141,2.601,4.368,3246.9
40.928,0.145,2.599,4.223,3247.0
46.851,0.155,2.595,3.983,3247.1
53.646,0.162,2.588,3.642,3247.2
56.449,0.163,2.579,3.292,3247.3
56.96,0.162,2.568,3.01,3247.4
55.776,0.155,2.561,2.864,3247.5
54.095,0.147,2.559,2.954,3247.6
52.586,0.142,2.559,3.009,3247.7
47.183,0.134,2.561,3.479,3247.8
40.707,0.128,2.564,3.852,3247.9
35.46,0.125,2.567,3.731,3248.0
33.076,0.122,2.568,3.862,3248.1
31.352,0.12,2.567,3.894,3248.2
30.193,0.117,2.566,3.894,3248.3
30.0,0.116,2.567,3.963,3248.4
29.361,0.115,2.571,4.08,3248.5
28.283,0.114,2.575,4.175,3248.6
26.991,0.112,2.577,4.268,3248.7
