GR,NPHI,RHOB,RT,DEPTH
47.079,0.221,2.621,7.66,3862.2
46.701,0.221,2.634,9.608,3862.3
46.741,0.222,2.63,10.252,3862.4
47.881,0.218,2.608,10.525,3862.5
48.137,0.222,2.567,11.025,3862.6
50.049,0.23,2.516,11.174,3862.7
52.154,0.231,2.473,11.175,3862.8
52.865,0.227,2.45,10.95,3862.9
52.387,0.22,2.447,10.544,3863.0
51.26,0.218,2.455,11.143,3863.1
53.304,0.215,2.463,11.579,3863.2
53.192,0.218,2.464,10.776,3863.3
53.301,0.215,2.459,9.842,3863.4
54.83,0.211,2.451,9.736,3863.5
55.291,0.211,2.444,9.856,3863.6
54.093,0.21,2.441,10.473,3863.7
53.166,0.211,2.442,12.277,3863.8
51.877,0.213,2.449,12.778,3863.9
52.217,0.216,2.463,11.988,3864.0
52.695,0.217,2.479,11.705,3864.1
51.705,0.217,2.495,12.291,3864.2
52.512,0.216,2.505,12.493,3864.3
54.208,0.215,2.505,13.129,3864.4
52.287,0.219,2.5,14.714,3864.5
52.796,0.221,2.498,16.502,3864.6
51.265,0.217,2.506,16.797,3864.7
50.457,0.217,2.521,19.371,3864.8
50.324,0.209,2.527,26.041,3864.9
50.086,0.208,2.517,26.965,3865.0
50.393,0.207,2.493,23.844,3865.1
51.454,0.206,2.47,23.453,3865.2
51.569,0.206,2.456,29.456,3865.3
50.594,0.204,2.45,38.905,3865.4
49.315,0.198,2.447,42.463,3865.5
48.331,0.197,2.448,39.431,3865.6
46.283,0.196,2.453,44.896,3865.7
43.829,0.198,2.468,43.245,3865.8
41.953,0.202,2.489,33.99,3865.9
36.913,0.202,2.505,23.604,3866.0
36.352,0.2,2.506,17.595,3866.1
39.798,0.202,2.492,21.063,3866.2
41.937,0.199,2.476,28.05,3866.3
41.362,0.197,2.467,35.138,3866.4
42.109,0.199,2.463,40.326,3866.5
43.764,0.198,2.462,38.51,3866.6
43.62,0.195,2.458,34.218,3866.7
43.621,0.191,2.451,28.634,3866.8
42.633,0.187,2.442,23.804,3866.9
42.648,0.185,2.434,21.753,3867.0
41.963,0.185,2.428,21.095,3867.1
42.137,0.185,2.424,20.884,3867.2
41.702,0.186,2.423,19.938,3867.3
40.784,0.186,2.43,19.655,3867.4
38.369,0.187,2.447,17.801,3867.5
35.777,0.19,2.465,15.352,3867.6
35.036,0.19,2.473,11.548,3867.7
33.482,0.192,2.462,10.819,3867.8
35.558,0.197,2.44,13.206,3867.9
36.481,0.193,2.419,12.852,3868.0
37.242,0.19,2.408,10.078,3868.1
36.357,0.186,2.404,7.596,3868.2
36.02,0.183,2.402,6.785,3868.3
38.078,0.182,2.401,6.485,3868.4
38.97,0.182,2.402,6.232,3868.5
39.266,0.183,2.409,5.546,3868.6
39.869,0.188,2.419,4.952,3868.7
41.752,0.192,2.429,4.236,3868.8
43.007,0.202,2.438,3.571,3868.9
45.477,0.207,2.447,3.31,3869.0
47.295,0.212,2.46,3.717,3869.1
46.088,0.223,2.483,3.689,3869.2
44.2,0.232,2.514,3.677,3869.3
41.377,0.242,2.548,3.47,3869.4
39.778,0.247,2.576,2.507,3869.5
39.206,0.248,2.598,1.999,3869.6
38.569,0.246,2.618,1.806,3869.7
38.265,0.238,2.631,1.815,3869.8
37.603,0.233,2.63,1.843,3869.9
39.826,0.227,2.615,1.863,3870.0
39.801,0.229,2.596,1.908,3870.1
39.309,0.222,2.585,2.035,3870.2
39.9,0.216,2.584,1.934,3870.3
38.682,0.218,2.585,1.877,3870.4
38.167,0.221,2.585,1.848,3870.5
38.506,0.225,2.581,1.887,3870.6
38.533,0.231,2.575,1.86,3870.7
37.829,0.231,2.568,1.831,3870.8
38.192,0.225,2.562,1.784,3870.9
38.472,0.235,2.558,1.789,3871.0
39.603,0.221,2.554,1.82,3871.1
38.994,0.222,2.551,1.786,3871.2
37.767,0.219,2.551,1.71,3871.3
35.964,0.222,2.556,1.663,3871.4
35.565,0.229,2.565,1.652,3871.5
35.791,0.242,2.574,1.658,3871.6
37.362,0.251,2.578,1.609,3871.7
37.118,0.246,2.575,1.602,3871.8
36.211,0.24,2.568,1.584,3871.9
35.375,0.238,2.563,1.632,3872.0
34.925,0.238,2.563,1.683,3872.1
35.94,0.238,2.568,1.719,3872.2
37.278,0.238,2.571,1.69,3872.3
38.25,0.238,2.57,1.679,3872.4
37.332,0.237,2.565,1.613,3872.5
38.07,0.24,2.56,1.606,3872.6
38.956,0.239,2.56,1.564,3872.7
38.365,0.242,2.565,1.623,3872.8
38.54,0.244,2.571,1.965,3872.9
39.047,0.244,2.575,2.023,3873.0
39.097,0.245,2.575,2.004,3873.1
37.948,0.247,2.572,1.99,3873.2
38.495,0.25,2.569,1.971,3873.3
40.142,0.252,2.567,2.039,3873.4
40.161,0.252,2.562,2.084,3873.5
39.541,0.252,2.551,1.967,3873.6
40.846,0.25,2.537,1.907,3873.7
40.007,0.248,2.528,1.97,3873.8
39.911,0.247,2.532,2.116,3873.9
40.518,0.248,2.548,2.336,3874.0
39.917,0.248,2.567,2.498,3874.1
40.405,0.247,2.582,2.403,3874.2
40.479,0.244,2.587,2.459,3874.3
40.989,0.242,2.58,2.509,3874.4
41.779,0.24,2.565,2.262,3874.5
40.901,0.239,2.548,2.239,3874.6
39.987,0.237,2.538,2.452,3874.7
39.602,0.236,2.539,2.625,3874.8
40.047,0.236,2.548,2.565,3874.9
40.538,0.238,2.559,2.373,3875.0
40.89,0.24,2.565,2.229,3875.1
39.749,0.241,2.56,2.136,3875.2
40.741,0.242,2.547,2.001,3875.3
40.881,0.242,2.535,1.924,3875.4
41.201,0.241,2.531,1.882,3875.5
39.733,0.239,2.537,1.85,3875.6
37.749,0.236,2.544,1.822,3875.7
38.601,0.23,2.548,1.896,3875.8
38.047,0.229,2.55,2.052,3875.9
37.684,0.232,2.557,2.178,3876.0
39.301,0.232,2.568,2.234,3876.1
41.626,0.229,2.578,2.224,3876.2
41.355,0.23,2.58,2.103,3876.3
40.841,0.232,2.573,1.998,3876.4
40.738,0.234,2.561,1.949,3876.5
41.035,0.232,2.55,1.949,3876.6
40.804,0.232,2.547,2.051,3876.7
40.004,0.234,2.552,2.077,3876.8
40.497,0.232,2.56,2.058,3876.9
40.51,0.231,2.568,2.11,3877.0
39.885,0.227,2.574,2.175,3877.1
39.614,0.23,2.581,2.183,3877.2
39.366,0.235,2.588,2.125,3877.3
40.403,0.233,2.591,2.072,3877.4
38.838,0.231,2.587,2.049,3877.5
39.537,0.231,2.582,2.04,3877.6
40.457,0.232,2.581,1.965,3877.7
39.486,0.232,2.586,1.895,3877.8
39.739,0.227,2.591,1.88,3877.9
38.985,0.229,2.591,1.963,3878.0
38.102,0.231,2.586,2.016,3878.1
37.74,0.229,2.582,2.007,3878.2
37.543,0.23,2.583,2.066,3878.3
37.241,0.229,2.59,2.161,3878.4
36.693,0.226,2.597,2.258,3878.5
35.849,0.226,2.603,2.422,3878.6
36.986,0.225,2.607,2.607,3878.7
37.635,0.225,2.61,2.799,3878.8
37.555,0.227,2.611,2.911,3878.9
36.568,0.229,2.61,2.815,3879.0
36.352,0.234,2.603,2.507,3879.1
37.205,0.237,2.589,2.288,3879.2
36.544,0.238,2.572,2.132,3879.3
35.48,0.243,2.559,2.155,3879.4
35.559,0.241,2.558,2.495,3879.5
34.794,0.237,2.571,3.217,3879.6
34.288,0.231,2.597,3.991,3879.7
33.244,0.225,2.628,4.331,3879.8
33.38,0.218,2.655,4.424,3879.9
34.125,0.218,2.67,4.4,3880.0
34.451,0.22,2.673,4.159,3880.1
34.911,0.221,2.67,4.072,3880.2
34.68,0.223,2.667,3.898,3880.3
35.086,0.225,2.669,3.768,3880.4
36.69,0.223,2.67,3.436,3880.5
36.691,0.227,2.664,3.144,3880.6
36.311,0.229,2.647,3.117,3880.7
35.991,0.225,2.624,3.147,3880.8
36.057,0.226,2.604,3.042,3880.9
35.509,0.227,2.596,3.143,3881.0
33.851,0.22,2.6,3.434,3881.1
34.013,0.217,2.615,3.6,3881.2
33.375,0.22,2.639,3.571,3881.3
31.97,0.215,2.664,3.646,3881.4
33.412,0.217,2.681,3.302,3881.5
34.541,0.216,2.687,2.983,3881.6
34.465,0.222,2.684,2.854,3881.7
34.09,0.226,2.681,2.769,3881.8
33.929,0.227,2.68,2.645,3881.9
35.483,0.218,2.677,2.738,3882.0
35.38,0.209,2.67,2.678,3882.1
35.452,0.218,2.659,2.623,3882.2
36.585,0.216,2.651,2.491,3882.3
37.875,0.215,2.647,2.302,3882.4
38.265,0.22,2.642,2.228,3882.5
40.108,0.223,2.63,2.358,3882.6
40.507,0.227,2.609,2.315,3882.7
40.765,0.222,2.582,2.109,3882.8
40.931,0.221,2.558,1.917,3882.9
39.048,0.219,2.546,1.834,3883.0
39.489,0.219,2.545,1.988,3883.1
39.2,0.222,2.551,2.023,3883.2
40.013,0.224,2.554,1.949,3883.3
41.373,0.227,2.553,1.948,3883.4
39.217,0.23,2.55,1.997,3883.5
38.753,0.231,2.549,2.044,3883.6
39.528,0.227,2.547,2.053,3883.7
39.928,0.224,2.538,2.009,3883.8
39.694,0.221,2.523,2.006,3883.9
39.788,0.219,2.508,1.97,3884.0
40.213,0.222,2.498,1.961,3884.1
40.197,0.222,2.494,1.951,3884.2
39.686,0.221,2.494,1.998,3884.3
40.317,0.215,2.493,1.987,3884.4
39.14,0.213,2.492,1.955,3884.5
40.071,0.209,2.491,1.916,3884.6
40.345,0.207,2.492,1.887,3884.7
39.188,0.205,2.495,1.878,3884.8
39.027,0.204,2.497,1.9,3884.9
37.835,0.202,2.496,1.921,3885.0
38.031,0.2,2.49,1.917,3885.1
36.693,0.199,2.481,1.908,3885.2
36.178,0.199,2.475,1.932,3885.3
35.542,0.197,2.474,2.015,3885.4
35.272,0.201,2.48,2.13,3885.5
35.292,0.202,2.486,2.22,3885.6
35.246,0.203,2.489,2.31,3885.7
35.11,0.203,2.489,2.347,3885.8
34.757,0.205,2.488,2.402,3885.9
34.268,0.208,2.487,2.407,3886.0
33.679,0.208,2.486,2.423,3886.1
32.639,0.213,2.486,2.4,3886.2
34.01,0.216,2.489,2.443,3886.3
34.846,0.213,2.492,2.457,3886.4
35.445,0.21,2.489,2.457,3886.5
35.973,0.208,2.48,2.475,3886.6
35.28,0.211,2.47,2.503,3886.7
34.934,0.215,2.469,2.504,3886.8
35.625,0.219,2.479,2.455,3886.9
36.705,0.221,2.497,2.437,3887.0
38.794,0.226,2.515,2.442,3887.1
41.322,0.223,2.531,2.502,3887.2
40.08,0.223,2.543,2.572,3887.3
40.973,0.217,2.549,2.648,3887.4
40.996,0.217,2.543,2.559,3887.5
41.149,0.212,2.527,2.333,3887.6
41.522,0.208,2.506,2.212,3887.7
42.167,0.208,2.49,2.208,3887.8
41.184,0.213,2.487,2.208,3887.9
40.369,0.214,2.495,2.22,3888.0
42.213,0.211,2.507,2.269,3888.1
41.454,0.214,2.516,2.348,3888.2
41.585,0.216,2.519,2.389,3888.3
41.576,0.218,2.521,2.256,3888.4
40.953,0.227,2.527,2.136,3888.5
40.913,0.231,2.534,2.075,3888.6
39.408,0.233,2.539,2.082,3888.7
39.166,0.238,2.541,2.078,3888.8
39.58,0.242,2.543,2.11,3888.9
40.131,0.242,2.55,2.177,3889.0
40.781,0.244,2.556,2.351,3889.1
41.428,0.247,2.561,2.338,3889.2
40.917,0.248,2.562,2.252,3889.3
38.993,0.248,2.566,2.249,3889.4
38.06,0.251,2.577,2.236,3889.5
37.851,0.255,2.591,2.37,3889.6
38.504,0.262,2.6,2.389,3889.7
37.612,0.261,2.601,2.118,3889.8
38.041,0.257,2.6,2.102,3889.9
38.647,0.257,2.605,2.448,3890.0
38.265,0.253,2.616,2.96,3890.1
38.084,0.252,2.629,3.71,3890.2
37.927,0.254,2.636,3.836,3890.3
38.844,0.259,2.635,3.86,3890.4
38.824,0.262,2.626,3.643,3890.5
39.613,0.261,2.611,3.384,3890.6
39.13,0.263,2.594,3.143,3890.7
39.165,0.26,2.584,3.493,3890.8
38.783,0.258,2.585,4.128,3890.9
39.412,0.257,2.593,4.841,3891.0
38.819,0.257,2.6,4.94,3891.1
37.768,0.26,2.6,4.659,3891.2
38.151,0.258,2.598,4.511,3891.3
38.513,0.255,2.597,4.302,3891.4
39.264,0.253,2.599,3.815,3891.5
38.904,0.25,2.599,3.432,3891.6
39.208,0.253,2.597,2.814,3891.7
39.111,0.253,2.596,3.219,3891.8
39.267,0.252,2.6,3.077,3891.9
38.533,0.251,2.611,2.392,3892.0
37.515,0.251,2.632,2.544,3892.1
34.993,0.252,2.661,3.006,3892.2
34.18,0.253,2.691,2.93,3892.3
34.638,0.253,2.713,2.386,3892.4
37.232,0.257,2.721,1.804,3892.5
40.197,0.262,2.716,1.78,3892.6
40.972,0.26,2.703,1.942,3892.7
41.93,0.253,2.69,2.052,3892.8
42.109,0.238,2.682,2.019,3892.9
40.995,0.218,2.682,2.308,3893.0
38.174,0.197,2.686,2.754,3893.1
36.802,0.186,2.689,3.066,3893.2
34.124,0.175,2.682,3.838,3893.3
31.638,0.168,2.662,6.489,3893.4
31.538,0.166,2.632,9.361,3893.5
32.029,0.167,2.603,16.971,3893.6
31.558,0.168,2.581,33.576,3893.7
30.968,0.17,2.57,51.797,3893.8
29.279,0.172,2.568,180.999,3893.9
28.043,0.17,2.568,1278.182,3894.0
26.578,0.168,2.566,62290.77,3894.1
25.115,0.167,2.561,62207.332,3894.2
24.335,0.165,2.557,32642.559,3894.3
21.667,0.163,2.557,168.952,3894.4
22.773,0.161,2.553,67.656,3894.5
23.845,0.161,2.54,69.474,3894.6
24.548,0.162,2.519,63.125,3894.7
24.98,0.162,2.498,56.751,3894.8
25.263,0.16,2.484,55.161,3894.9
23.708,0.158,2.475,55.176,3895.0
23.94,0.156,2.466,52.709,3895.1
21.979,0.155,2.457,54.184,3895.2
19.813,0.154,2.448,52.024,3895.3
19.29,0.152,2.442,61.247,3895.4
18.666,0.15,2.438,66.283,3895.5
18.458,0.148,2.432,67.24,3895.6
18.385,0.146,2.422,58.229,3895.7
17.259,0.145,2.411,58.056,3895.8
16.338,0.144,2.406,65.376,3895.9
16.39,0.144,2.409,79.202,3896.0
16.09,0.144,2.42,99.809,3896.1
15.86,0.145,2.431,119.386,3896.2
16.616,0.146,2.435,160.396,3896.3
17.016,0.148,2.434,173.236,3896.4
17.925,0.146,2.431,148.186,3896.5
18.283,0.149,2.43,123.369,3896.6
18.256,0.146,2.428,108.095,3896.7
18.806,0.148,2.42,110.599,3896.8
18.403,0.147,2.407,101.897,3896.9
19.689,0.149,2.392,107.108,3897.0
19.606,0.151,2.382,94.675,3897.1
20.596,0.151,2.377,91.653,3897.2
20.422,0.151,2.377,88.344,3897.3
19.605,0.153,2.377,82.581,3897.4
19.564,0.153,2.375,79.479,3897.5
19.784,0.154,2.372,73.94,3897.6
19.976,0.155,2.367,80.296,3897.7
20.018,0.161,2.36,79.835,3897.8
19.634,0.165,2.352,84.543,3897.9
19.793,0.165,2.344,83.986,3898.0
20.099,0.169,2.34,83.455,3898.1
20.359,0.168,2.34,90.007,3898.2
20.097,0.166,2.344,95.471,3898.3
19.966,0.164,2.349,90.365,3898.4
18.452,0.164,2.352,110.082,3898.5
18.579,0.164,2.356,118.108,3898.6
19.578,0.164,2.363,137.24,3898.7
20.212,0.162,2.373,159.786,3898.8
19.635,0.16,2.382,197.454,3898.9
18.747,0.159,2.384,296.643,3899.0
18.229,0.156,2.378,441.587,3899.1
17.059,0.158,2.369,588.968,3899.2
17.467,0.158,2.364,1349.251,3899.3
17.475,0.156,2.362,32736.049,3899.4
16.569,0.154,2.361,62290.77,3899.5
16.218,0.15,2.357,62290.77,3899.6
17.026,0.149,2.348,62290.77,3899.7
17.169,0.15,2.338,62290.77,3899.8
16.893,0.15,2.328,62290.77,3899.9
15.936,0.154,2.318,62290.77,3900.0
15.641,0.15,2.308,62290.77,3900.1
16.256,0.149,2.3,62290.77,3900.2
16.011,0.148,2.294,62290.77,3900.3
15.761,0.147,2.288,62290.77,3900.4
15.372,0.15,2.281,62290.77,3900.5
14.393,0.148,2.272,62290.77,3900.6
14.637,0.148,2.263,62187.875,3900.7
13.893,0.148,2.256,25775.852,3900.8
13.791,0.147,2.251,2443.922,3900.9
14.627,0.147,2.246,2126.965,3901.0
14.367,0.147,2.24,775.191,3901.1
14.116,0.148,2.234,488.367,3901.2
14.011,0.149,2.229,363.801,3901.3
13.347,0.15,2.226,324.206,3901.4
13.326,0.152,2.224,318.158,3901.5
13.434,0.152,2.223,261.295,3901.6
14.514,0.152,2.222,223.969,3901.7
14.052,0.154,2.221,196.114,3901.8
14.002,0.151,2.22,190.975,3901.9
13.306,0.153,2.219,177.934,3902.0
13.327,0.155,2.218,181.738,3902.1
13.763,0.156,2.217,161.812,3902.2
13.536,0.156,2.218,165.692,3902.3
13.475,0.157,2.22,164.847,3902.4
13.238,0.154,2.222,168.763,3902.5
12.953,0.153,2.222,157.554,3902.6
12.743,0.154,2.221,157.714,3902.7
13.066,0.154,2.22,160.539,3902.8
13.094,0.155,2.221,153.394,3902.9
13.473,0.155,2.224,161.57,3903.0
14.932,0.154,2.229,169.863,3903.1
15.891,0.153,2.236,161.825,3903.2
15.549,0.152,2.243,179.828,3903.3
16.209,0.156,2.249,203.81,3903.4
16.953,0.155,2.253,227.883,3903.5
17.128,0.157,2.254,231.544,3903.6
17.083,0.157,2.253,263.538,3903.7
16.889,0.156,2.251,302.425,3903.8
16.43,0.153,2.25,366.393,3903.9
16.276,0.152,2.252,357.483,3904.0
16.565,0.153,2.254,400.425,3904.1
16.363,0.159,2.254,338.672,3904.2
16.239,0.16,2.251,363.108,3904.3
15.799,0.159,2.245,452.316,3904.4
15.062,0.152,2.24,392.266,3904.5
15.726,0.149,2.239,361.202,3904.6
15.352,0.147,2.24,386.707,3904.7
16.005,0.147,2.241,399.217,3904.8
16.67,0.148,2.242,422.934,3904.9
17.132,0.151,2.244,467.036,3905.0
17.268,0.157,2.245,435.686,3905.1
17.91,0.161,2.246,471.513,3905.2
18.292,0.163,2.246,475.424,3905.3
18.364,0.165,2.247,349.066,3905.4
18.009,0.165,2.248,326.512,3905.5
18.598,0.166,2.249,337.765,3905.6
18.836,0.166,2.249,363.959,3905.7
17.332,0.165,2.25,373.485,3905.8
17.523,0.162,2.249,300.492,3905.9
18.461,0.162,2.247,288.747,3906.0
17.601,0.157,2.243,290.219,3906.1
16.207,0.154,2.24,246.002,3906.2
16.207,0.153,2.238,233.727,3906.3
16.72,0.151,2.239,242.704,3906.4
16.384,0.15,2.24,208.009,3906.5
15.771,0.15,2.241,195.032,3906.6
16.591,0.152,2.24,168.419,3906.7
16.136,0.154,2.236,156.49,3906.8
15.303,0.159,2.23,141.645,3906.9
15.151,0.158,2.225,139.257,3907.0
15.396,0.159,2.221,122.572,3907.1
15.652,0.159,2.219,118.607,3907.2
15.865,0.161,2.218,108.966,3907.3
15.781,0.162,2.217,112.173,3907.4
15.584,0.163,2.216,103.694,3907.5
14.877,0.163,2.215,95.843,3907.6
15.174,0.162,2.215,89.979,3907.7
15.535,0.162,2.217,87.918,3907.8
14.648,0.162,2.22,85.174,3907.9
14.414,0.163,2.223,79.204,3908.0
14.941,0.166,2.225,75.384,3908.1
16.446,0.168,2.224,73.602,3908.2
17.402,0.17,2.224,72.976,3908.3
18.245,0.17,2.223,73.041,3908.4
17.178,0.172,2.224,70.485,3908.5
17.333,0.169,2.225,69.275,3908.6
17.625,0.17,2.229,68.02,3908.7
18.041,0.169,2.232,68.114,3908.8
17.129,0.168,2.234,66.202,3908.9
16.919,0.166,2.233,63.753,3909.0
16.591,0.168,2.232,62.407,3909.1
16.553,0.165,2.23,64.212,3909.2
16.42,0.169,2.229,62.66,3909.3
15.543,0.168,2.226,60.461,3909.4
15.445,0.169,2.223,58.415,3909.5
15.144,0.169,2.218,58.828,3909.6
15.679,0.17,2.214,59.145,3909.7
16.257,0.171,2.21,57.884,3909.8
16.227,0.172,2.207,57.561,3909.9
16.402,0.171,2.205,57.691,3910.0
16.6,0.17,2.204,57.353,3910.1
16.461,0.171,2.204,56.427,3910.2
15.606,0.168,2.204,56.088,3910.3
15.265,0.166,2.204,55.544,3910.4
16.377,0.166,2.204,56.062,3910.5
16.35,0.168,2.203,56.216,3910.6
15.19,0.168,2.201,57.093,3910.7
15.217,0.168,2.201,57.741,3910.8
14.608,0.165,2.203,59.538,3910.9
14.572,0.163,2.204,59.992,3911.0
14.518,0.161,2.203,60.086,3911.1
14.298,0.16,2.2,59.287,3911.2
14.445,0.161,2.197,59.568,3911.3
13.903,0.163,2.196,59.881,3911.4
14.465,0.166,2.196,60.377,3911.5
13.694,0.169,2.195,61.202,3911.6
12.363,0.17,2.194,61.369,3911.7
12.048,0.169,2.193,62.557,3911.8
11.834,0.166,2.191,62.985,3911.9
12.837,0.163,2.189,63.332,3912.0
13.277,0.16,2.189,63.489,3912.1
13.099,0.158,2.189,63.896,3912.2
12.591,0.153,2.189,65.05,3912.3
12.756,0.156,2.188,65.265,3912.4
13.361,0.154,2.187,66.268,3912.5
14.738,0.157,2.187,66.725,3912.6
15.085,0.161,2.187,68.084,3912.7
15.794,0.163,2.186,68.478,3912.8
15.938,0.164,2.185,68.761,3912.9
15.532,0.166,2.186,69.022,3913.0
15.654,0.163,2.189,69.272,3913.1
15.452,0.168,2.192,69.861,3913.2
15.021,0.171,2.193,69.882,3913.3
14.866,0.172,2.191,70.153,3913.4
15.298,0.172,2.189,70.381,3913.5
16.059,0.171,2.189,70.256,3913.6
16.254,0.171,2.193,70.281,3913.7
16.204,0.171,2.2,71.466,3913.8
15.966,0.17,2.205,72.248,3913.9
15.952,0.169,2.208,72.51,3914.0
16.67,0.164,2.208,72.732,3914.1
16.659,0.165,2.205,73.178,3914.2
17.025,0.167,2.202,73.516,3914.3
17.448,0.163,2.198,72.866,3914.4
16.271,0.163,2.195,73.245,3914.5
15.634,0.162,2.193,73.087,3914.6
15.483,0.162,2.193,72.712,3914.7
16.459,0.16,2.193,73.591,3914.8
17.022,0.163,2.194,73.809,3914.9
16.18,0.163,2.196,73.515,3915.0
16.081,0.163,2.2,72.519,3915.1
17.348,0.16,2.203,73.227,3915.2
16.518,0.161,2.203,73.996,3915.3
15.877,0.165,2.2,75.06,3915.4
15.44,0.166,2.194,75.249,3915.5
14.228,0.167,2.187,75.816,3915.6
14.144,0.168,2.18,76.153,3915.7
15.097,0.17,2.175,76.249,3915.8
16.671,0.169,2.173,76.832,3915.9
15.592,0.171,2.173,77.199,3916.0
15.222,0.17,2.173,77.374,3916.1
14.569,0.168,2.173,77.42,3916.2
14.078,0.166,2.172,77.197,3916.3
14.399,0.164,2.171,76.831,3916.4
14.286,0.163,2.17,76.978,3916.5
13.415,0.163,2.17,76.979,3916.6
14.467,0.164,2.172,77.571,3916.7
15.367,0.166,2.174,77.947,3916.8
15.005,0.168,2.178,78.273,3916.9
14.297,0.169,2.182,78.322,3917.0
14.828,0.169,2.185,78.218,3917.1
14.96,0.168,2.185,77.126,3917.2
14.221,0.166,2.183,77.494,3917.3
14.497,0.164,2.179,77.177,3917.4
15.043,0.16,2.177,77.945,3917.5
14.859,0.162,2.175,78.328,3917.6
14.748,0.162,2.175,78.986,3917.7
15.138,0.161,2.175,79.322,3917.8
14.676,0.159,2.177,79.816,3917.9
14.662,0.159,2.18,80.261,3918.0
14.359,0.161,2.183,80.293,3918.1
13.93,0.162,2.184,80.34,3918.2
14.833,0.163,2.184,80.342,3918.3
16.545,0.163,2.182,80.499,3918.4
16.629,0.161,2.182,79.472,3918.5
15.798,0.158,2.182,78.477,3918.6
15.625,0.156,2.183,78.397,3918.7
16.683,0.154,2.187,77.269,3918.8
17.001,0.155,2.192,75.91,3918.9
16.486,0.156,2.197,74.756,3919.0
15.923,0.159,2.199,75.012,3919.1
15.464,0.162,2.197,75.032,3919.2
14.827,0.165,2.191,74.131,3919.3
15.86,0.167,2.185,73.22,3919.4
16.354,0.168,2.182,71.144,3919.5
16.548,0.168,2.18,71.079,3919.6
16.071,0.168,2.179,70.068,3919.7
16.303,0.168,2.178,69.88,3919.8
16.076,0.169,2.177,69.447,3919.9
15.945,0.17,2.175,68.596,3920.0
15.626,0.172,2.175,67.704,3920.1
15.29,0.172,2.175,66.193,3920.2
15.288,0.172,2.178,64.986,3920.3
15.871,0.172,2.184,64.034,3920.4
15.902,0.17,2.192,63.643,3920.5
15.842,0.173,2.199,62.911,3920.6
15.424,0.173,2.206,60.319,3920.7
14.123,0.171,2.21,57.651,3920.8
14.265,0.17,2.211,58.073,3920.9
14.44,0.171,2.211,58.137,3921.0
15.256,0.173,2.211,57.264,3921.1
15.559,0.179,2.21,56.857,3921.2
16.49,0.184,2.209,55.296,3921.3
17.553,0.186,2.208,51.93,3921.4
19.217,0.184,2.21,50.225,3921.5
20.707,0.184,2.213,48.767,3921.6
19.442,0.182,2.214,51.344,3921.7
18.423,0.18,2.214,64.186,3921.8
16.656,0.179,2.211,72.441,3921.9
16.157,0.178,2.208,69.439,3922.0
15.614,0.176,2.205,65.451,3922.1
15.698,0.171,2.202,61.804,3922.2
15.03,0.17,2.2,56.034,3922.3
15.04,0.173,2.198,51.247,3922.4
14.723,0.173,2.194,50.368,3922.5
14.382,0.173,2.188,54.19,3922.6
14.475,0.173,2.18,56.264,3922.7
14.623,0.172,2.175,57.167,3922.8
15.359,0.172,2.171,58.123,3922.9
16.144,0.173,2.17,57.776,3923.0
16.304,0.174,2.169,55.859,3923.1
15.657,0.176,2.168,53.693,3923.2
15.283,0.175,2.166,57.65,3923.3
15.456,0.177,2.163,58.634,3923.4
14.809,0.177,2.162,56.339,3923.5
14.94,0.179,2.162,55.06,3923.6
15.272,0.179,2.163,55.581,3923.7
15.161,0.179,2.167,55.031,3923.8
15.192,0.182,2.171,54.88,3923.9
15.748,0.178,2.174,54.558,3924.0
15.112,0.175,2.176,55.004,3924.1
14.534,0.171,2.176,55.165,3924.2
13.962,0.167,2.177,54.119,3924.3
15.322,0.165,2.178,54.169,3924.4
15.923,0.166,2.179,53.959,3924.5
14.193,0.169,2.18,54.114,3924.6
13.706,0.172,2.182,53.525,3924.7
14.271,0.174,2.186,53.683,3924.8
14.38,0.176,2.19,53.934,3924.9
14.746,0.176,2.194,54.44,3925.0
15.177,0.175,2.196,54.52,3925.1
15.422,0.173,2.198,55.166,3925.2
15.691,0.17,2.199,53.929,3925.3
16.544,0.169,2.198,52.9,3925.4
16.621,0.172,2.195,51.08,3925.5
15.838,0.17,2.188,49.701,3925.6
16.086,0.169,2.183,49.819,3925.7
15.68,0.167,2.181,52.299,3925.8
15.524,0.163,2.18,52.993,3925.9
14.742,0.165,2.179,52.302,3926.0
14.209,0.162,2.178,53.319,3926.1
14.821,0.164,2.178,56.556,3926.2
15.983,0.164,2.179,56.384,3926.3
14.826,0.163,2.181,55.392,3926.4
13.955,0.162,2.185,55.294,3926.5
13.586,0.161,2.19,55.526,3926.6
13.249,0.161,2.196,55.171,3926.7
13.661,0.158,2.203,56.129,3926.8
14.344,0.159,2.206,56.241,3926.9
14.56,0.164,2.204,58.918,3927.0
14.308,0.166,2.198,58.76,3927.1
13.886,0.172,2.192,57.644,3927.2
14.118,0.171,2.189,56.003,3927.3
14.552,0.172,2.191,55.392,3927.4
14.323,0.171,2.195,56.048,3927.5
14.215,0.168,2.196,56.662,3927.6
15.061,0.165,2.195,57.604,3927.7
15.178,0.164,2.194,58.145,3927.8
15.439,0.163,2.194,60.068,3927.9
15.277,0.163,2.196,58.608,3928.0
14.832,0.164,2.199,57.898,3928.1
14.311,0.168,2.2,57.83,3928.2
13.994,0.168,2.198,57.645,3928.3
14.726,0.169,2.195,56.64,3928.4
15.07,0.169,2.191,56.171,3928.5
