DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2644.3,92.2991,32.2332,0.2295,2.2305,0.4063,2644.3
2644.4,92.0334,32.8036,0.2269,2.2312,0.4072,2644.4
2644.5,91.8162,33.4855,0.2271,2.2336,0.4084,2644.5
2644.6,91.6407,33.2809,0.2302,2.2371,0.4103,2644.6
2644.7,91.5395,30.4832,0.2347,2.2402,0.4127,2644.7
2644.8,91.4734,30.0151,0.238,2.2416,0.4139,2644.8
2644.9,91.4419,31.9329,0.2391,2.2404,0.4129,2644.9
2645.0,91.4478,32.1532,0.2389,2.2385,0.4131,2645.0
2645.1,91.5061,32.4225,0.2386,2.2384,0.4124,2645.1
2645.2,91.6267,32.5291,0.2384,2.2413,0.411,2645.2
2645.3,91.8277,32.5811,0.2384,2.2455,0.4102,2645.3
2645.4,92.031,33.0124,0.2391,2.2487,0.4104,2645.4
2645.5,92.2287,32.9561,0.2403,2.2491,0.4083,2645.5
2645.6,92.3638,32.3465,0.2412,2.2464,0.4056,2645.6
2645.7,92.4492,31.5309,0.2408,2.2411,0.4012,2645.7
2645.8,92.4603,31.7623,0.2398,2.2345,0.3992,2645.8
2645.9,92.3457,31.2865,0.2398,2.2289,0.3974,2645.9
2646.0,92.1968,32.1228,0.2419,2.2253,0.3959,2646.0
2646.1,92.0271,32.1944,0.2444,2.2243,0.3967,2646.1
2646.2,91.8757,33.8018,0.2443,2.2256,0.4017,2646.2
2646.3,91.7623,32.9173,0.2406,2.2285,0.4079,2646.3
2646.4,91.7425,33.0857,0.235,2.2322,0.4127,2646.4
2646.5,91.77,32.3475,0.23,2.2349,0.4173,2646.5
2646.6,91.8449,32.9783,0.2265,2.2362,0.4197,2646.6
2646.7,92.033,35.1081,0.2243,2.2372,0.4233,2646.7
2646.8,92.1913,33.9549,0.2242,2.2393,0.4269,2646.8
2646.9,92.3459,33.6827,0.2259,2.2421,0.4296,2646.9
2647.0,92.5489,33.7363,0.2287,2.2449,0.43,2647.0
2647.1,92.6837,33.4356,0.2311,2.2472,0.4281,2647.1
2647.2,92.7757,32.8205,0.2316,2.2492,0.4257,2647.2
2647.3,92.8314,31.5988,0.2309,2.2508,0.4214,2647.3
2647.4,92.8556,32.2343,0.2299,2.2511,0.4184,2647.4
2647.5,92.8619,32.7884,0.229,2.2499,0.4153,2647.5
2647.6,92.9173,32.6798,0.2293,2.2474,0.4126,2647.6
2647.7,92.9874,33.026,0.2295,2.2447,0.4126,2647.7
2647.8,93.0719,33.0967,0.2281,2.2431,0.413,2647.8
2647.9,93.2496,32.2809,0.225,2.2441,0.414,2647.9
2648.0,93.4652,32.7959,0.2219,2.2471,0.4153,2648.0
2648.1,93.7188,34.7099,0.2213,2.2499,0.4166,2648.1
2648.2,93.8491,34.9717,0.2229,2.2498,0.4178,2648.2
2648.3,93.8949,35.4845,0.2254,2.2461,0.4154,2648.3
2648.4,93.8418,34.5223,0.2284,2.2409,0.4116,2648.4
2648.5,93.5371,33.0082,0.2323,2.2363,0.409,2648.5
2648.6,93.247,33.4854,0.2372,2.2331,0.407,2648.6
2648.7,93.0086,33.4465,0.2403,2.2307,0.405,2648.7
2648.8,92.9344,32.9478,0.2394,2.2284,0.4051,2648.8
2648.9,92.8358,31.9431,0.2359,2.2264,0.4065,2648.9
2649.0,92.6514,32.6863,0.2342,2.2253,0.4068,2649.0
2649.1,92.5228,32.6265,0.2347,2.2259,0.4052,2649.1
2649.2,92.3931,33.1946,0.2361,2.2279,0.403,2649.2
2649.3,92.2351,33.4731,0.2364,2.2298,0.4014,2649.3
2649.4,92.0683,33.3479,0.235,2.2306,0.4012,2649.4
2649.5,91.9301,33.9958,0.2324,2.2298,0.4007,2649.5
2649.6,91.8811,32.7182,0.2299,2.2282,0.3999,2649.6
2649.7,91.7642,32.6421,0.2294,2.2262,0.4006,2649.7
2649.8,91.6296,32.5607,0.2325,2.2239,0.4035,2649.8
2649.9,91.5194,32.7253,0.2379,2.2224,0.4081,2649.9
2650.0,91.4513,32.9087,0.2431,2.2218,0.412,2650.0
2650.1,91.4391,31.7714,0.2462,2.2223,0.4152,2650.1
2650.2,91.6153,31.8895,0.2476,2.2243,0.4158,2650.2
2650.3,91.9349,33.3877,0.2481,2.2277,0.4157,2650.3
2650.4,92.3427,33.052,0.2483,2.2311,0.4136,2650.4
2650.5,92.8026,32.8518,0.2473,2.2325,0.4121,2650.5
2650.6,93.174,32.8007,0.2446,2.2325,0.4107,2650.6
2650.7,93.4685,31.7709,0.24,2.2321,0.4093,2650.7
2650.8,93.5487,31.0073,0.2344,2.2323,0.4101,2650.8
2650.9,93.488,31.2604,0.2294,2.2331,0.414,2650.9
2651.0,93.3046,31.4721,0.2263,2.2334,0.4182,2651.0
2651.1,92.9371,31.4255,0.2246,2.2332,0.4187,2651.1
2651.2,92.5835,31.7252,0.2238,2.2333,0.4177,2651.2
2651.3,92.2442,32.2191,0.2233,2.2344,0.4159,2651.3
2651.4,92.127,32.5574,0.2242,2.2358,0.4137,2651.4
2651.5,92.0406,32.1864,0.227,2.2367,0.4111,2651.5
2651.6,91.9843,32.0497,0.2308,2.2371,0.4094,2651.6
2651.7,92.12,32.816,0.2338,2.237,0.4123,2651.7
2651.8,92.2957,31.7735,0.234,2.2355,0.417,2651.8
2651.9,92.5068,31.4092,0.2319,2.2331,0.4279,2651.9
2652.0,92.6814,31.4176,0.23,2.2306,0.4308,2652.0
2652.1,92.7957,32.2646,0.23,2.2293,0.4225,2652.1
2652.2,92.8081,32.6103,0.2319,2.2294,0.4149,2652.2
2652.3,92.7188,33.0265,0.2345,2.2302,0.4126,2652.3
2652.4,92.5957,34.3133,0.2365,2.2317,0.4115,2652.4
2652.5,92.4439,33.5672,0.2365,2.2344,0.4116,2652.5
2652.6,92.3073,33.3764,0.234,2.2381,0.4117,2652.6
2652.7,92.1848,33.3816,0.23,2.2412,0.4095,2652.7
2652.8,92.0904,31.2627,0.227,2.2421,0.4044,2652.8
2652.9,92.0609,30.3725,0.2262,2.2404,0.4004,2652.9
2653.0,92.0732,31.2636,0.2279,2.2372,0.3968,2653.0
2653.1,92.1536,32.441,0.2304,2.2336,0.3962,2653.1
2653.2,92.2661,32.8567,0.232,2.2305,0.3969,2653.2
2653.3,92.3952,32.7328,0.2324,2.2282,0.3957,2653.3
2653.4,92.5341,32.1443,0.2324,2.2266,0.3957,2653.4
2653.5,92.6483,32.985,0.2322,2.226,0.3962,2653.5
2653.6,92.7668,32.2572,0.2312,2.227,0.4014,2653.6
2653.7,93.0378,33.4103,0.2288,2.2299,0.4064,2653.7
2653.8,93.4141,33.47,0.2254,2.2337,0.4105,2653.8
2653.9,93.8552,32.7589,0.2233,2.2379,0.4129,2653.9
2654.0,94.1584,32.3643,0.2234,2.2425,0.4136,2654.0
2654.1,94.3798,32.6622,0.2247,2.2467,0.4123,2654.1
2654.2,94.5289,34.0134,0.2255,2.2489,0.4112,2654.2
2654.3,94.5574,31.9965,0.2253,2.2473,0.4082,2654.3
