GR,NPHI,RHOB,RT,DEPTH,DT
9.681000000000001,0.076,2.582,1.923810600138926,3208.3,63.78471327494894
9.187999999999999,0.077,2.577,1.923372356029947,3208.4,63.31739022594491
9.517999999999999,0.077,2.572,1.9198594718553708,3208.5,63.46145309960317
9.607000000000001,0.078,2.569,1.9111708081085408,3208.6,63.64072405521335
10.562000000000001,0.08,2.568,1.9071693207388827,3208.7,63.59191924691886
11.023,0.08199999999999999,2.568,1.8718021769015913,3208.8,63.603359026902496
12.27,0.087,2.569,1.8528545685878657,3208.9,63.75095562367654
15.415,0.096,2.57,1.8696460078851262,3209.0,68.87662174932281
19.398,0.106,2.571,1.8780900589790757,3209.1,67.61665808004567
22.834,0.11599999999999999,2.571,1.8639250800282403,3209.2,75.73514741706046
28.976,0.122,2.57,1.8195367502275015,3209.3,74.02492412006411
33.25,0.124,2.571,1.7042024888785234,3209.4,75.09140444403593
34.376,0.11800000000000001,2.572,1.5692407226826872,3209.5,81.79416196168285
32.219,0.10800000000000001,2.573,1.474305238442604,3209.6,69.4175307801982
29.045,0.092,2.574,1.4678743481123135,3209.7,68.05832100175526
24.28,0.078,2.5780000000000003,1.627474274920199,3209.8,67.89215363133945
19.088,0.068,2.585,1.836732834870786,3209.9,62.38685847639997
15.069,0.063,2.594,2.0554049638515948,3210.0,60.58598178662956
11.435,0.061,2.5989999999999998,2.1944429343743423,3210.1,60.59685283004339
9.972000000000001,0.062,2.5989999999999998,2.1872864686305826,3210.2,60.29059810857679
10.513,0.066,2.593,2.1553603732375204,3210.3,60.63370653672578
11.012,0.07200000000000001,2.5869999999999997,2.1076645006235757,3210.4,62.156605576136
13.071,0.078,2.583,2.0913701125451096,3210.5,64.80413223384407
15.142000000000001,0.08199999999999999,2.583,2.0978952203380827,3210.6,64.23227309347158
17.285,0.084,2.585,2.086417155416261,3210.7,63.96851802944915
19.192999999999998,0.084,2.589,2.090999490513565,3210.8,63.346926974617936
19.611,0.08199999999999999,2.594,2.0698961288363042,3210.9,63.12776084430083
19.419,0.08,2.5980000000000003,2.029725949433903,3211.0,63.35137946448757
18.907,0.077,2.5980000000000003,1.9997216985466009,3211.1,64.09033392618007
16.956,0.076,2.595,1.9997216985466009,3211.2,64.34134600938363
15.142000000000001,0.075,2.59,2.0339210263780267,3211.3,64.59105064684577
12.993,0.075,2.5860000000000003,2.000804096162763,3211.4,64.62214019268117
12.828,0.076,2.5860000000000003,1.9892432737616872,3211.5,64.6496898029926
12.839,0.077,2.5869999999999997,2.004179057179289,3211.6,64.71524885969598
12.727,0.079,2.588,1.955719027188817,3211.7,64.47832079733699
13.689,0.083,2.585,1.9377339577711363,3211.8,64.0763034812983
15.37,0.086,2.58,1.9129441202327666,3211.9,63.58119371729081
17.298,0.091,2.576,1.8931119634883424,3212.0,62.70670949963814
18.375,0.094,2.573,1.8451422457931683,3212.1,65.22406725110646
18.877,0.096,2.572,1.8696460078851262,3212.2,66.39586118698959
20.886999999999997,0.099,2.572,1.8791596595088884,3212.3,66.6466741335715
21.295,0.099,2.572,1.8430860963933957,3212.4,66.46278407208052
20.45,0.096,2.572,1.7213370049315093,3212.5,65.6830568207585
18.827,0.092,2.576,1.7213370049315093,3212.6,62.271116193167146
17.492,0.084,2.5810000000000004,1.7451918334117202,3212.7,63.31426918033577
15.835,0.078,2.588,1.81433602340696,3212.8,64.00607305800857
13.392999999999999,0.071,2.593,1.950471160382876,3212.9,62.54570899963989
10.844000000000001,0.066,2.597,2.0556610130144324,3213.0,60.733581064275455
9.829,0.063,2.5989999999999998,2.060258722263062,3213.1,60.774097559282396
8.481,0.063,2.6,2.0270950613076266,3213.2,61.53015442166442
8.32,0.063,2.5989999999999998,1.9763007827603225,3213.3,61.41976693587921
8.144,0.065,2.597,2.0199568948449436,3213.4,61.435568287079306
7.75,0.066,2.594,2.038619547159581,3213.5,61.675226140874365
9.245,0.068,2.594,2.0276217929500393,3213.6,62.02042173860083
