DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2594.9,120.749,76.286,0.328,2.333,0.909,2594.9
2595.0,120.1,71.113,0.309,2.332,0.998,2595.0
2595.1,118.514,64.389,0.303,2.332,1.076,2595.1
2595.2,117.224,59.999,0.313,2.332,1.269,2595.2
2595.3,115.914,57.16,0.327,2.333,1.545,2595.3
2595.4,114.37,58.534,0.357,2.333,1.642,2595.4
2595.5,112.885,63.215,0.383,2.334,1.355,2595.5
2595.6,111.756,70.414,0.409,2.342,1.079,2595.6
2595.7,111.734,79.079,0.436,2.359,0.872,2595.7
2595.8,112.724,82.068,0.454,2.38,0.787,2595.8
2595.9,113.949,81.838,0.472,2.401,0.814,2595.9
2596.0,114.381,80.914,0.481,2.415,0.838,2596.0
2596.1,114.284,80.006,0.479,2.424,0.878,2596.1
2596.2,113.824,79.814,0.471,2.426,0.885,2596.2
2596.3,113.307,79.864,0.467,2.426,0.886,2596.3
2596.4,112.789,79.916,0.464,2.426,0.887,2596.4
2596.5,112.495,80.459,0.461,2.423,0.897,2596.5
2596.6,112.728,80.338,0.454,2.418,0.869,2596.6
2596.7,113.574,79.996,0.449,2.407,0.845,2596.7
2596.8,114.475,80.917,0.446,2.392,0.801,2596.8
2596.9,115.415,83.253,0.448,2.375,0.738,2596.9
2597.0,116.231,82.836,0.459,2.362,0.728,2597.0
2597.1,116.775,85.743,0.474,2.355,0.742,2597.1
2597.2,117.067,86.98,0.484,2.354,0.762,2597.2
2597.3,117.363,88.423,0.495,2.355,0.744,2597.3
2597.4,117.269,89.987,0.495,2.356,0.737,2597.4
2597.5,116.73,90.539,0.484,2.356,0.74,2597.5
2597.6,114.7,87.52,0.471,2.353,0.741,2597.6
2597.7,112.021,87.186,0.451,2.349,0.74,2597.7
2597.8,108.568,88.533,0.431,2.347,0.74,2597.8
2597.9,105.412,87.957,0.411,2.35,0.77,2597.9
2598.0,102.78,88.184,0.393,2.357,0.811,2598.0
2598.1,100.972,85.468,0.375,2.367,0.946,2598.1
2598.2,99.408,83.154,0.36,2.379,1.133,2598.2
2598.3,98.35,80.262,0.367,2.389,1.17,2598.3
2598.4,98.251,77.333,0.374,2.396,1.185,2598.4
2598.5,98.343,75.848,0.386,2.401,1.216,2598.5
2598.6,98.612,81.168,0.389,2.405,1.298,2598.6
2598.7,99.22,84.73,0.382,2.406,1.267,2598.7
2598.8,99.68,86.275,0.372,2.397,1.289,2598.8
2598.9,100.124,87.813,0.363,2.389,1.267,2598.9
2599.0,100.684,85.819,0.363,2.376,1.211,2599.0
2599.1,101.141,84.024,0.364,2.369,1.172,2599.1
2599.2,101.548,81.153,0.372,2.369,1.162,2599.2
2599.3,101.917,78.515,0.381,2.372,1.208,2599.3
2599.4,102.162,77.612,0.39,2.374,1.276,2599.4
2599.5,102.39,78.257,0.391,2.375,1.424,2599.5
2599.6,102.938,80.689,0.397,2.377,1.377,2599.6
